logFC	minuslog10FDR	threshold
Bacteria;Actinobacteria;Actinobacteria;Acidothermales;unkn. Acidothermales(o);unkn. Acidothermales(o);unkn. Acidothermales(o)	0.0505964929593959	0.0114049430252757	gray23
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;unkn. Actinomyces(g)	0.797330035743086	1.56475679164148	red2
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;unkn. Actinomycetaceae(f);unkn. Actinomycetaceae(f)	0.545864470004814	1.140118402357	gray23
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;unkn. Actinomycetales(o);unkn. Actinomycetales(o);uncultured Actinomycetales bacterium	-0.334443553817606	0.0517559597398616	gray23
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;unkn. Actinomycetales(o);unkn. Actinomycetales(o);uncultured actinomycete	-0.831820791727675	0.16696572905042	gray23
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;unkn. Actinomycetales(o);unkn. Actinomycetales(o);unkn. Actinomycetales(o)	0.7109722332213	1.67391819273144	red2
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;unkn. Actinomycetales(o);unkn. Actinomycetales(o);unkn. unkn. Actinomycetales(o)(g)	1.2568150239671	0.258021042025217	gray23
Bacteria;Actinobacteria;Actinobacteria;Actinopolysporales;Actinopolysporaceae;Actinopolyspora;Actinopolyspora erythraea	0.541448208645539	0.147984950027832	gray23
Bacteria;Actinobacteria;Actinobacteria;Actinopolysporales;Actinopolysporaceae;Actinopolyspora;unkn. Actinopolyspora(g)	0.580848874396221	0.459505053825889	gray23
Bacteria;Actinobacteria;Actinobacteria;Actinopolysporales;Actinopolysporaceae;unkn. Actinopolysporaceae(f);unkn. Actinopolysporaceae(f)	0.981908209965781	0.926423846795044	gray23
Bacteria;Actinobacteria;Actinobacteria;Actinopolysporales;unkn. Actinopolysporales(o);unkn. Actinopolysporales(o);unkn. Actinopolysporales(o)	0.788601342811059	0.965720288093801	gray23
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;unkn. Bifidobacterium(g)	0.800937006197256	0.398077224079734	gray23
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;unkn. Bifidobacteriaceae(f);unkn. Bifidobacteriaceae(f)	0.59291193713433	0.478035528546809	gray23
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;unkn. Bifidobacteriales(o);unkn. Bifidobacteriales(o);unkn. Bifidobacteriales(o)	0.738027052616385	1.07802958222686	gray23
Bacteria;Actinobacteria;Actinobacteria;Catenulisporales;Catenulisporaceae;Catenulispora;Catenulispora acidiphila	0.545438747203814	0.349040570041873	gray23
Bacteria;Actinobacteria;Actinobacteria;Catenulisporales;Catenulisporaceae;Catenulispora;unkn. Catenulispora(g)	0.865526163160171	1.26296212813785	gray23
