"OTU","90543_ID2592_1-A-HOBBS-A001-A03_S91_L001_R1_001","90544_ID2592_2-B-HOBBS-A001-B03_S92_L001_R1_001","90545_ID2592_3-C-HOBBS-A001-C03_S93_L001_R1_001","90546_ID2592_4-D-HOBBS-A001-D03_S94_L001_R1_001","90547_ID2592_5-A-RROSE-A001-E03_S95_L001_R1_001","90548_ID2592_6-C-RROSE-1-A001-F03_S96_L001_R1_001","90549_ID2592_7-C-RROSE-2-A001-G03_S97_L001_R1_001","90550_ID2592_8-D-RROSE-A001-H03_S98_L001_R1_001","90551_ID2592_9-A-DENVER-A001-A04_S99_L001_R1_001","90552_ID2592_10-B-DENVER-A001-B04_S100_L001_R1_001","90553_ID2592_11-C-DENVER-A001-C04_S101_L001_R1_001","90554_ID2592_12-D-DENVER-A001-D04_S102_L001_R1_001","90555_ID2592_13-A-KSW2-A001-E04_S103_L001_R1_001","90556_ID2592_14-B-KSW2-A001-F04_S104_L001_R1_001","90557_ID2592_15-C-KSW2-A001-G04_S105_L001_R1_001","90558_ID2592_16-D-KSW2-A001-H04_S106_L001_R1_001","90559_ID2600_1-SB1-A001-A03_S219_L004_R1_001","90560_ID2600_2-SB2-A001-B03_S220_L004_R1_001","90561_ID2600_3-SB3-A001-C03_S221_L004_R1_001","90562_ID2600_4-SB4-A001-D03_S222_L004_R1_001","90563_ID2600_5-SB5-A001-E03_S223_L004_R1_001","90564_ID2600_6-SB6-A001-F03_S224_L004_R1_001","Taxonomic lineage"
"Basidiomycota","0.0135","0.01295","0.01119","0.01213","0.01935","0.02501","0.01484","0.01897","0.01309","0.01559","0.04144","0.01339","0.01518","0.022","0.01008","0.01382","0.16806","0.03947","0.02623","0.02443","0.01908","0.02462","Eukaryota;Basidiomycota"
"Blastocladiomycota","0","0.00013","0.00016","8.0E-5","0.00015","6.0E-5","0","0.00011","0.0001","0","0.00015","0.00024","0.00021","0.00038","0.00015","0.00034","9.0E-5","0.0002","0.00014","0.00015","8.0E-5","8.0E-5","Eukaryota;Blastocladiomycota"
"Brachiopoda","0","0","0","8.0E-5","0","0","0","0","0","0","0","0","0","0","0","0","0.00026","0","0","0","0.00017","0","Eukaryota;Brachiopoda"
"Bryozoa","0","0","0","0","8.0E-5","0","0","0","0","0","0","0","0","0","0","8.0E-5","0","0","0","0","0","0","Eukaryota;Bryozoa"
"Caldiserica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.0E-5","8.0E-5","0","Bacteria;Caldiserica"
"Calditrichaeota","0.00047","0.00013","0.00024","0.00024","0.00015","0.0004","0.00032","0.00033","0.00019","0.00028","0.00023","0.00065","0.00028","0.00015","0.00015","8.0E-5","0.00078","0.00041","0.00035","0.00061","0.0005","0.00065","Bacteria;Calditrichaeota"
"candidate division NC10","0.00093","0.00134","0.00144","0.00163","0.00158","0.00209","0.00274","0.00257","0.00136","0.00176","0.00264","0.00347","0.00147","0.00115","0.00145","0.00237","0.00096","0.00123","0.00317","0.00321","0.00302","0.003","Bacteria;candidate division NC10"
"candidate division WPS-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.0E-5","0","0","0","0","0","0","Bacteria;candidate division WPS-1"
"candidate division WWE3","0.00016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.0E-5","0","0","0","8.0E-5","0","0","Bacteria;candidate division WWE3"
"Candidatus Amesbacteria","0","0","0","8.0E-5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Bacteria;Candidatus Amesbacteria"
