"OTU","90543_ID2592_1-A-HOBBS-A001-A03_S91_L001_R1_001","90544_ID2592_2-B-HOBBS-A001-B03_S92_L001_R1_001","90545_ID2592_3-C-HOBBS-A001-C03_S93_L001_R1_001","90546_ID2592_4-D-HOBBS-A001-D03_S94_L001_R1_001","90547_ID2592_5-A-RROSE-A001-E03_S95_L001_R1_001","90548_ID2592_6-C-RROSE-1-A001-F03_S96_L001_R1_001","90549_ID2592_7-C-RROSE-2-A001-G03_S97_L001_R1_001","90550_ID2592_8-D-RROSE-A001-H03_S98_L001_R1_001","90551_ID2592_9-A-DENVER-A001-A04_S99_L001_R1_001","90552_ID2592_10-B-DENVER-A001-B04_S100_L001_R1_001","90553_ID2592_11-C-DENVER-A001-C04_S101_L001_R1_001","90554_ID2592_12-D-DENVER-A001-D04_S102_L001_R1_001","90555_ID2592_13-A-KSW2-A001-E04_S103_L001_R1_001","90556_ID2592_14-B-KSW2-A001-F04_S104_L001_R1_001","90557_ID2592_15-C-KSW2-A001-G04_S105_L001_R1_001","90558_ID2592_16-D-KSW2-A001-H04_S106_L001_R1_001","90559_ID2600_1-SB1-A001-A03_S219_L004_R1_001","90560_ID2600_2-SB2-A001-B03_S220_L004_R1_001","90561_ID2600_3-SB3-A001-C03_S221_L004_R1_001","90562_ID2600_4-SB4-A001-D03_S222_L004_R1_001","90563_ID2600_5-SB5-A001-E03_S223_L004_R1_001","90564_ID2600_6-SB6-A001-F03_S224_L004_R1_001","Taxonomic lineage"
"unkn. Ornithorhynchidae(f)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.0E-5","0","0","Eukaryota;Chordata;Mammalia;Monotremata;Ornithorhynchidae;unkn. Ornithorhynchidae(f)"
"unkn. Orobanchaceae(f)","0.00946","0.00255","0.00352","0.00399","0.00113","0.00034","0.00065","0.00167","0.00204","0.00371","0.00045","0.00121","0.00084","0.00369","0.00261","0.00051","0.00156","0.00102","0","0.00061","0.00055","8.0E-5","Eukaryota;Streptophyta;unkn. Streptophyta(p);Lamiales;Orobanchaceae;unkn. Orobanchaceae(f)"
"unkn. Ortervirales(o)","0","0","0","0","0","0","0","0","0","9.0E-5","0","0","0","0","0","0","0","0","0","0","0","0","Viruses;unkn. Viruses(d);unkn. Viruses(d);Ortervirales;unkn. Ortervirales(o);unkn. Ortervirales(o)"
"unkn. Orthotrichaceae(f)","0","0","0","0","0","0","8.0E-5","0","0","0","0","0","0","8.0E-5","0","0","0","0","0","0","0","0","Eukaryota;Streptophyta;Bryopsida;Orthotrichales;Orthotrichaceae;unkn. Orthotrichaceae(f)"
"unkn. Orthotrichales(o)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.0E-5","0","0","Eukaryota;Streptophyta;Bryopsida;Orthotrichales;unkn. Orthotrichales(o);unkn. Orthotrichales(o)"
"unkn. Orussidae(f)","0","0","0","0","0","0","0","0","0","0","0","0","0","8.0E-5","0","0","0","0","0","0","0.00013","0","Eukaryota;Arthropoda;Insecta;Hymenoptera;Orussidae;unkn. Orussidae(f)"
"unkn. Oscillatoriaceae(f)","0","7.0E-5","0.00016","0","0.00015","0.00011","8.0E-5","0.00033","0","0.00102","0.00045","8.0E-5","0.00014","0.00015","7.0E-5","0","0.00035","0.00041","0.0031","0.01183","0.01388","0.00384","Bacteria;Cyanobacteria;unkn. Cyanobacteria(p);Oscillatoriales;Oscillatoriaceae;unkn. Oscillatoriaceae(f)"
"unkn. Oscillatoriales(o)","0.00016","0.00034","0.00048","0.00016","0.00023","0.00034","0.00089","0.00056","0.00048","0.00084","0","0.00081","0","0.00046","0.00022","0.00051","0.0013","0","0.00049","0.00351","0.00562","0.0017","Bacteria;Cyanobacteria;unkn. Cyanobacteria(p);Oscillatoriales;unkn. Oscillatoriales(o);unkn. Oscillatoriales(o)"
"unkn. Oscillospiraceae(f)","0","0","8.0E-5","0.00016","0.00023","0.00023","0.00048","0","0.0001","0","0.00023","0.00024","0.00021","0.00023","7.0E-5","0.00017","9.0E-5","0.00041","7.0E-5","0.00015","4.0E-5","0.00031","Bacteria;Firmicutes;Clostridia;Clostridiales;Oscillospiraceae;unkn. Oscillospiraceae(f)"
"unkn. Osteoglossiformes(o)","0","0","8.0E-5","0","8.0E-5","0","0","0","0","0","0","0","0.00021","0","0","0","9.0E-5","0","0","0","0","0","Eukaryota;Chordata;Actinopteri;Osteoglossiformes;unkn. Osteoglossiformes(o);unkn. Osteoglossiformes(o)"
"unkn. Ostreidae(f)","0","7.0E-5","0","0","0","6.0E-5","0","0","0","0","8.0E-5","0","0","0","0","0","0","0","0","0","4.0E-5","0","Eukaryota;Mollusca;Bivalvia;Ostreoida;Ostreidae;unkn. Ostreidae(f)"
"unkn. Ostreoida(o)","0.00031","0.00013","0","8.0E-5","0","0","8.0E-5","0","0","0","0","0","0","0","7.0E-5","0","0","0","0","0","0","0","Eukaryota;Mollusca;Bivalvia;Ostreoida;unkn. Ostreoida(o);unkn. Ostreoida(o)"
"unkn. Ostropales(o)","0","7.0E-5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00017","0","0","0","0","0","Eukaryota;Ascomycota;Lecanoromycetes;Ostropales;unkn. Ostropales(o);unkn. Ostropales(o)"
"unkn. Otariidae(f)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.0E-5","Eukaryota;Chordata;Mammalia;Carnivora;Otariidae;unkn. Otariidae(f)"
"unkn. Oxalidales(o)","0","0","0","0","0","0","0","0","0","0.00019","0","0","0","0","0","0","0","0","0","0","0","0","Eukaryota;Streptophyta;unkn. Streptophyta(p);Oxalidales;unkn. Oxalidales(o);unkn. Oxalidales(o)"
"unkn. Oxalobacteraceae(f)","0.15854","0.05561","0.07324","0.08212","0.0711","0.04031","0.05276","0.0452","0.1043","0.10161","0.07201","0.06116","0.34904","0.13536","0.05686","0.0935","0.13749","0.1493","0.37894","0.2417","2.74119","0.11584","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;unkn. Oxalobacteraceae(f)"
"unkn. Oxytrichidae(f)","0","0","0","0","0","0","0","0","0","0","0.00015","0","0","0","0","0","9.0E-5","0","0","0.00015","0.00013","6.0E-5","Eukaryota;unkn. Eukaryota(d);Spirotrichea;Sporadotrichida;Oxytrichidae;unkn. Oxytrichidae(f)"
"unkn. Oxyuridae(f)","0","0","0","0","0","0","0","0","0","0","0","8.0E-5","0","0","0","0","0","0","0","0.00015","0","0","Eukaryota;Nematoda;Chromadorea;Rhabditida;Oxyuridae;unkn. Oxyuridae(f)"
"unkn. Paenibacillaceae(f)","0.01675","0.00604","0.0072","0.00912","0.0051","0.00514","0.00565","0.00424","0.0062","0.00993","0.00913","0.00775","0.00336","0.00523","0.0029","0.01416","0.002","0.00225","0.00367","0.00687","0.00641","0.01631","Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;unkn. Paenibacillaceae(f)"
"unkn. Palmophyllophyceae(c)","0","0","0","0","0","0","0","0","0","0","0","8.0E-5","0","0","0","0","0","0","0","0","0","0","Eukaryota;Chlorophyta;Palmophyllophyceae;unkn. Palmophyllophyceae(c);unkn. Palmophyllophyceae(c);unkn. Palmophyllophyceae(c)"
"unkn. Paludibacteraceae(f)","0","0","0","8.0E-5","0.00015","0","0","0","0","9.0E-5","0","0","0.00014","0","0","0","0.00026","0.00041","7.0E-5","0","8.0E-5","0","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Paludibacteraceae;unkn. Paludibacteraceae(f)"
"unkn. Panagrolaimidae(f)","0","7.0E-5","0","0","0","0","0","0","0.00019","0","0","0","0","0","0","0","0","0","0","0","0","0","Eukaryota;Nematoda;Chromadorea;Rhabditida;Panagrolaimidae;unkn. Panagrolaimidae(f)"
"unkn. Papilionidae(f)","0","0","0","8.0E-5","0","0","0","0","0","0","0","8.0E-5","0","0","7.0E-5","0","0","0","0","8.0E-5","0","0","Eukaryota;Arthropoda;Insecta;Lepidoptera;Papilionidae;unkn. Papilionidae(f)"
"unkn. Papillomaviridae(f)","0","0","0","0","0","0","0","0","0","0","8.0E-5","0","0","0","0","0","0","0","0","0","0","0","Viruses;unkn. Viruses(d);unkn. Viruses(d);unkn. Viruses(d);Papillomaviridae;unkn. Papillomaviridae(f)"
"unkn. Parachlamydiaceae(f)","0.00031","0.0002","0.00056","0.00057","0.0006","0.00079","0.00113","0.00045","0.00039","9.0E-5","0.00083","0.00032","7.0E-5","8.0E-5","7.0E-5","8.0E-5","9.0E-5","0","0","0","0","0.00011","Bacteria;Chlamydiae;Chlamydiia;Parachlamydiales;Parachlamydiaceae;unkn. Parachlamydiaceae(f)"
